,Av,Rt,Th,Cost
2016-01-31,0.5222079702039626,0.18514294403664278,0.35483304162691826,0.330821480310765
2016-02-01,0.47789760749109095,0.051869738842281965,0.3811219544451583,0.33756024253895506
2016-02-02,0.5152299854113664,0.18269728617957842,0.37783970454825705,0.3131341815478309
2016-02-03,0.5111399936858938,0.09007023741210407,0.3762397388883428,0.2736240516957058
2016-02-04,0.5353114331988512,0.08180908550890664,0.34945575800062095,0.27406091713232406
2016-02-05,0.6077847273806605,0.06871757489618424,0.37992284455253295,0.29413149738471644
2016-02-06,0.38687850711637967,0.11457749565638886,0.41518795531563263,0.25177120869256125
2016-02-07,0.4484515331927757,0.09710311219305401,0.39636575502054583,0.2965294385321473
2016-02-08,0.5413064751401093,0.10361798871234607,0.46818814783003704,0.24456588815148472
2016-02-09,0.38310384838024497,0.11738009225898055,0.37035588402013575,0.36216064741089393
2016-02-10,0.4588082939682051,0.0744565172138153,0.453258827644309,0.33819766801617324
2016-02-11,0.5265331697522311,0.16608963607153748,0.45727013313147724,0.37013541762670743
2016-02-12,0.44376098933517705,0.07958916431335294,0.4149305208083685,0.31690107780524657
2016-02-13,0.45639207445499796,0.0937735231813559,0.40752496506081803,0.2729254227254553
2016-02-14,0.5270313708768735,0.22220391219021124,0.43350591797911525,0.21759949032822817
2016-02-15,0.47927824081546755,0.14130141940373303,0.44922741976665126,0.14168861942214472
2016-02-16,0.5191472011168186,0.16182567840290657,0.471214947435334,0.26739788398779535
2016-02-17,0.4468961379734622,0.15088202243959636,0.4780049706752374,0.23090099608834824
2016-02-18,0.5054302743630025,0.12074239160482064,0.4767510327572362,0.40993157595101926
2016-02-19,0.4531902212492181,0.1992688087168495,0.5175570717311391,0.3085600821716241
2016-02-20,0.4703136507959191,0.2324517231095759,0.44414175659573446,0.3786753020733641
2016-02-21,0.4479791422479686,0.20513938130220744,0.4965151360303503,0.3109335541453745
2016-02-22,0.4297578985173335,0.2245791109072232,0.49036659431369767,0.30583349487301636
2016-02-23,0.45374449539418166,0.29410337776825557,0.5065085693586193,0.4531719399503507
2016-02-24,0.34364105425528907,0.21439052176920986,0.5439757338297879,0.506064962167557
2016-02-25,0.3285757507593812,0.21211368996107904,0.46112502796743615,0.4013910846908642
2016-02-26,0.2753851392533623,0.1727425943654483,0.49427023472852577,0.2695812951574044
2016-02-27,0.3815604404106652,0.29803397714580065,0.47479695554133505,0.3577370452975073
2016-02-28,0.35420577052452573,0.15950338575113798,0.4504263776962487,0.38913759634853495
2016-02-29,0.31714194114010463,0.200095452063918,0.49698379239995477,0.38548973539842024
2016-03-01,0.26026393466820597,0.1905121046187993,0.5034283386340126,0.47908070015540755
2016-03-02,0.24937768420276193,0.16716250134621818,0.5337378587509024,0.3958243752379997
2016-03-03,0.34680926579310356,0.3028910189000965,0.5319340296422685,0.39203616564629773
2016-03-04,0.34196047589920164,0.2024885962378017,0.4700680908078203,0.5045305972859517
2016-03-05,0.36241960638094195,0.23105781811816506,0.5816176882436608,0.4183895643876863
2016-03-06,0.34942764453728786,0.2541381547181712,0.5028378466578,0.43539218325855567
2016-03-07,0.3060242797309533,0.3122720799694949,0.49854607729716893,0.5216053958625558
2016-03-08,0.24831471177950676,0.2976355460390048,0.5122481725038627,0.4432537485733943
2016-03-09,0.3832358509187327,0.19476232242053226,0.4301653160654988,0.40755793285336167
2016-03-10,0.4701830869593184,0.3470965074702682,0.46187966705242123,0.49890088772169966
2016-03-11,0.3553578400556046,0.19131900741984587,0.47300021117056473,0.4442785602550115
2016-03-12,0.45497041010241374,0.28907683159684344,0.5058388482381915,0.4993243964460005
2016-03-13,0.36476734098254815,0.2528270069061535,0.5178937423467596,0.3593159596234219
2016-03-14,0.2818281627493666,0.18273970724639976,0.398331219108194,0.3250241415528307
2016-03-15,0.3346821064705452,0.21898803676564604,0.44245820996383645,0.36783887964077083
2016-03-16,0.4481678012219351,0.18190115251141675,0.42498551133471135,0.2585820496635163
2016-03-17,0.3956127720534367,0.15706563147249392,0.48829686698577696,0.3498692139605003
2016-03-18,0.4107425359769582,0.20742082866895495,0.46587763471963706,0.3311751532947576
